dataset,adj_thresh,node_sample_ratio,method,adjacency_method,num_nodes,num_edges,avg_degree,density_pct,largest_cc_ratio_pct,num_connected_components,degree_std,clustering_coefficient,diameter,modularity,homophily
addneuromed,0.0,full,variance,string,17197,4547748,528.9001570041286,3.0757161956508994,82.17712391696226,3066,530.4625429589192,0.2141,3.0,0.2833965445124443,0.0034208139940911414
addneuromed,0.0,full,variance,wgcna,17197,72582082,8441.249287666453,49.088446660074744,100.0,1,809.3674572009528,0.635,2.0,0.23702104083461092,4.1952502822941894e-05
addneuromed,0.11,full,variance,string,17197,4547748,528.9001570041286,3.0757161956508994,82.17712391696226,3066,530.4625429589192,0.2141,3.0,0.2833965445124443,0.0034208139940911414
addneuromed,0.11,full,variance,wgcna,17197,31700,3.6866895388730594,0.0214392273719066,3.9774379252195153,16038,11.08111282406918,0.7362,13.0,0.408163173223598,0.5317034700315457
addneuromed,0.22,full,variance,string,17197,2106388,244.97156480781533,1.4245845825064858,82.17130894923534,3067,290.76252733886264,0.2093,5.0,0.3494449407924366,0.006850589729907311
addneuromed,0.22,full,variance,wgcna,17197,20061,2.3330813513984996,0.01356758171318039,1.7444903180787348,16713,3.279414065016292,0.7288,12.0,0.43891799719787766,0.8527989631623548
addneuromed,0.33,full,variance,string,17197,973763,113.24800837355353,0.6585718095693971,82.14223411060068,3072,156.29298659614665,0.2565,5.0,0.43817634938526717,0.018000273167084805
addneuromed,0.33,full,variance,wgcna,17197,18045,2.098621852648718,0.012204128010285635,0.7908356108623597,16986,1.3077556669543542,0.7321,9.0,0.49967823691460056,0.9501246882793017
addneuromed,0.44,full,variance,string,17197,543205,63.1743908821306,0.36737840708380204,81.83985578880038,3124,97.97501856326838,0.3716,7.0,0.5163449490600405,0.03167312524737438
addneuromed,0.44,full,variance,wgcna,17197,17442,2.0284933418619526,0.011796309268794793,0.3663429667965343,17089,0.4765866808516151,0.7633,9.0,0.5385561095553583,0.9794748308680197
addneuromed,0.56,full,variance,string,17197,322220,37.47397801942199,0.21792264491406138,78.03686689538874,3745,62.76159702867692,0.4879,12.0,0.6110217905434963,0.05130345726522252
addneuromed,0.56,full,variance,wgcna,17197,17261,2.007443158690469,0.011673896014715452,0.11048438681165319,17147,0.14963413652858387,0.7661,6.0,0.5127599243856333,0.9901512079253809
addneuromed,0.67,full,variance,string,17197,213639,24.846077804268187,0.14448754247655377,71.24498459033552,4875,43.90487900203176,0.5576,13.0,0.6703377498943464,0.07481780012076447
addneuromed,0.67,full,variance,wgcna,17197,17214,2.001977089027156,0.011642109147634078,0.017444903180787348,17182,0.05495338330787141,0.8897,2.0,0.26,0.9922737306843267
addneuromed,0.78,full,variance,string,17197,148807,17.30615805082282,0.10064060276123991,63.85997557713554,6083,32.56637656879254,0.6048,11.0,0.7234318798054251,0.1104853938322794
addneuromed,0.78,full,variance,wgcna,17197,17203,2.0006977961272314,0.011634669668104393,0.017444903180787348,17192,0.03234512747558836,1.0,1.0,0.16666666666666666,0.9927919548915887
addneuromed,0.89,full,variance,string,17197,98678,11.476187707158225,0.06673754191182964,53.52677792638251,7752,22.02766647420152,0.6688,14.0,0.7753336707060315,0.17112223595938306
addneuromed,0.89,full,variance,wgcna,17197,17200,2.0003488980636157,0.011632640719141753,0.017444903180787348,17194,0.021565613561768514,0.8897,2.0,0.26,0.993139534883721
addneuromed,1.0,full,variance,string,17197,17197,2.0,0.01163061177017911,0.005814967726929116,17197,0.0,0.0,0.0,0.0,0.9932546374367622
addneuromed,1.0,full,variance,wgcna,17197,17197,2.0,0.01163061177017911,0.005814967726929116,17197,0.0,0.0,0.0,0.0,0.9932546374367622
addneuromed,0.0,full,random,string,17197,4547748,528.9001570041286,3.0757161956508994,82.17712391696226,3066,530.4625429589191,0.211,3.0,0.2835480707500885,0.0034208139940911414
addneuromed,0.0,full,random,wgcna,17197,72582082,8441.249287666453,49.088446660074744,100.0,1,809.3674572009527,0.6331,2.0,0.23702102595806337,4.1952502822941894e-05
addneuromed,0.11,full,random,string,17197,4547748,528.9001570041286,3.0757161956508994,82.17712391696226,3066,530.4625429589191,0.211,3.0,0.2835480707500885,0.0034208139940911414
addneuromed,0.11,full,random,wgcna,17197,31700,3.6866895388730594,0.0214392273719066,3.9774379252195153,16038,11.08111282406918,0.7426,13.0,0.40712343422689895,0.5317034700315457
addneuromed,0.22,full,random,string,17197,2106388,244.97156480781533,1.4245845825064858,82.17130894923534,3067,290.7625273388626,0.2092,4.0,0.3583263423085694,0.006850589729907311
addneuromed,0.22,full,random,wgcna,17197,20061,2.3330813513984996,0.01356758171318039,1.7444903180787348,16713,3.279414065016292,0.7263,11.0,0.43716493553716335,0.8527989631623548
addneuromed,0.33,full,random,string,17197,973763,113.24800837355353,0.6585718095693971,82.14223411060068,3072,156.29298659614662,0.2569,6.0,0.43154782128936076,0.018000273167084805
addneuromed,0.33,full,random,wgcna,17197,18045,2.098621852648718,0.012204128010285635,0.7908356108623597,16986,1.3077556669543544,0.721,9.0,0.49722020202020206,0.9501246882793017
addneuromed,0.44,full,random,string,17197,543205,63.1743908821306,0.36737840708380204,81.83985578880038,3124,97.97501856326839,0.3589,7.0,0.5152201272125991,0.03167312524737438
addneuromed,0.44,full,random,wgcna,17197,17442,2.0284933418619526,0.011796309268794793,0.3663429667965343,17089,0.4765866808516151,0.7584,9.0,0.5449422853630217,0.9794748308680197
addneuromed,0.56,full,random,string,17197,322220,37.47397801942199,0.21792264491406138,78.03686689538874,3745,62.76159702867691,0.4884,12.0,0.6099965654451434,0.05130345726522252
addneuromed,0.56,full,random,wgcna,17197,17261,2.007443158690469,0.011673896014715452,0.11048438681165319,17147,0.14963413652858387,0.7526,6.0,0.5132325141776938,0.9901512079253809
addneuromed,0.67,full,random,string,17197,213639,24.846077804268187,0.14448754247655377,71.24498459033552,4875,43.904879002031755,0.5567,13.0,0.6688777327250486,0.07481780012076447
addneuromed,0.67,full,random,wgcna,17197,17214,2.001977089027156,0.011642109147634078,0.017444903180787348,17182,0.0549533833078714,1.0,1.0,0.16666666666666666,0.9922737306843267
