dataset,adj_thresh,node_sample_ratio,method,adjacency_method,num_nodes,num_edges,avg_degree,density_pct,largest_cc_ratio_pct,num_connected_components,degree_std,clustering_coefficient,diameter,modularity,homophily
brca,0.0,full,variance,string,19049,6593791,692.2978634049032,3.6344910930538807,96.51950233608063,664,589.4359993316957,0.1993,3.0,0.28852662712103,0.003057118431566909
brca,0.0,full,variance,wgcna,19049,161573727,16964.011444170297,89.05927889631614,100.0,1,1752.3795583179408,0.9167,2.0,0.036471172910942304,8.690769384802271e-05
brca,0.11,full,variance,string,19049,6593791,692.2978634049032,3.6344910930538807,96.51950233608063,664,589.4359993316957,0.1993,3.0,0.28852662712103,0.003057118431566909
brca,0.11,full,variance,wgcna,19049,380135,39.911281432096175,0.20953003691776656,12.15811853640611,15605,159.0891744571309,0.8553,9.0,0.13643505555843422,0.050642534888921044
brca,0.22,full,variance,string,19049,2986796,313.59084466376186,1.6463190081045878,96.51950233608063,664,322.213135665162,0.1975,4.0,0.3630479815318063,0.00698038968848224
brca,0.22,full,variance,wgcna,19049,49640,5.21182214289464,0.027361519019816462,5.417607223476298,17046,24.01370666752596,0.8351,8.0,0.22109365094497174,0.3870265914585012
brca,0.33,full,variance,string,19049,1351537,141.90109717045513,0.744965860827673,96.49850385847026,668,173.92553355073434,0.2405,5.0,0.4346298684793386,0.014263020546237359
brca,0.33,full,variance,wgcna,19049,21594,2.2672056275919994,0.011902591493028138,1.4173972387001943,17889,2.4356048312024936,0.8263,7.0,0.39301660592075194,0.8877929054366954
brca,0.44,full,variance,string,19049,740760,77.77416137330043,0.40830618108620553,96.24127250774319,717,109.4138680977571,0.356,9.0,0.5168486262058849,0.02633511528700254
brca,0.44,full,variance,wgcna,19049,20052,2.1053073652160217,0.011052642614531824,0.09449314924667962,18251,0.6120885495856101,0.9538,2.0,0.06870876895181512,0.9575603431079194
brca,0.56,full,variance,string,19049,430255,45.17349992125571,0.2371561314639632,92.12032127670744,1466,69.82241018000647,0.4686,12.0,0.6169402310933245,0.04513137557959815
brca,0.56,full,variance,wgcna,19049,19883,2.0875636516352563,0.01095948998128547,0.09449314924667962,18379,0.5429693148693819,0.904,2.0,0.12842399691358028,0.9653472815973445
brca,0.67,full,variance,string,19049,278138,29.202372827969974,0.15330939115901918,82.8074964565069,3128,48.00567846874783,0.5505,14.0,0.6757833174392939,0.06697754352156124
brca,0.67,full,variance,wgcna,19049,19758,2.074439603128773,0.010890590104623968,0.09449314924667962,18474,0.47303501032302736,0.8739,3.0,0.20900257783065637,0.9719101123595506
brca,0.78,full,variance,string,19049,186940,19.627277022415875,0.10304114354481246,73.05370360648853,4926,34.63512035668205,0.6036,13.0,0.7303318834692475,0.10035305445597519
brca,0.78,full,variance,wgcna,19049,19615,2.0594256916373563,0.010811768645723207,0.09449314924667962,18572,0.3780647676070533,0.8373,4.0,0.2966499999999999,0.9792505735406577
brca,0.89,full,variance,string,19049,121382,12.744186046511627,0.06690563863141342,60.16588797312195,7215,23.359713727920532,0.6595,17.0,0.7862802431717579,0.1525184953287967
brca,0.89,full,variance,wgcna,19049,19477,2.0449367420861986,0.010735703181888906,0.09449314924667962,18665,0.2737519126009833,0.788,7.0,0.4576446280991735,0.9860861528982903
brca,1.0,full,variance,string,19049,19049,2.0,0.010499790004199917,0.005249619402593312,19049,0.0,0.0,0.0,0.0,0.9930180061945509
brca,1.0,full,variance,wgcna,19049,19049,2.0,0.010499790004199917,0.005249619402593312,19049,0.0,0.0,0.0,0.0,0.9930180061945509
brca,0.0,full,random,string,19049,6593791,692.2978634049032,3.6344910930538807,96.51950233608063,664,589.4359993316957,0.1978,3.0,0.2848867177407299,0.003057118431566909
brca,0.0,full,random,wgcna,19049,161573727,16964.011444170297,89.05927889631614,100.0,1,1752.379558317941,0.9144,2.0,0.036471182878881694,8.690769384802271e-05
brca,0.11,full,random,string,19049,6593791,692.2978634049032,3.6344910930538807,96.51950233608063,664,589.4359993316957,0.1978,3.0,0.2848867177407299,0.003057118431566909
brca,0.11,full,random,wgcna,19049,380135,39.911281432096175,0.20953003691776656,12.15811853640611,15605,159.0891744571309,0.8485,9.0,0.14397190493690934,0.050642534888921044
brca,0.22,full,random,string,19049,2986796,313.59084466376186,1.6463190081045878,96.51950233608063,664,322.21313566516204,0.199,4.0,0.35282553461661637,0.00698038968848224
