dataset,adj_thresh,node_sample_ratio,method,adjacency_method,num_nodes,num_edges,avg_degree,density_pct,largest_cc_ratio_pct,num_connected_components,degree_std,clustering_coefficient,diameter,modularity,homophily
motrpac,0.0,full,variance,string,4976,1005074,403.96864951768487,8.119972854626832,99.31672025723472,35,347.43204681231623,0.3445,3.0,0.27860209577311107,0.0037877808002196854
motrpac,0.0,full,variance,wgcna,4976,5753225,2312.389469453376,46.48019034077138,100.0,1,229.7946339579321,0.66,2.0,0.2973128857163905,0.0008510009603309448
motrpac,0.11,full,variance,string,4976,1005074,403.96864951768487,8.119972854626832,99.31672025723472,35,347.43204681231623,0.3445,3.0,0.27860209577311107,0.0037877808002196854
motrpac,0.11,full,variance,wgcna,4976,370057,148.73673633440515,2.9896831424001036,49.51768488745981,2407,278.15876628532527,0.826,15.0,0.21141218717423513,0.012471051756891506
motrpac,0.22,full,variance,string,4976,515322,207.12299035369776,4.1632761880140245,99.31672025723472,35,223.2904771918467,0.3355,4.0,0.33526759881629337,0.009361137308323728
motrpac,0.22,full,variance,wgcna,4976,211908,85.17202572347267,1.7120005170547272,31.410771704180064,3078,187.7609324497973,0.8136,11.0,0.18961071018211387,0.0220992128659607
motrpac,0.33,full,variance,string,4976,259881,104.45377813504822,2.0995734298502153,99.15594855305466,43,132.05688461230275,0.3668,6.0,0.38187009620561496,0.015722580719637065
motrpac,0.33,full,variance,wgcna,4976,124930,50.213022508038584,1.0093069850862026,25.683279742765276,3488,126.07724100162362,0.7983,19.0,0.20406927632744878,0.03955815256543664
motrpac,0.44,full,variance,string,4976,151939,61.068729903536976,1.2275121588650648,96.9855305466238,144,85.87320123875291,0.4341,9.0,0.4432582606928261,0.0295908226327671
motrpac,0.44,full,variance,wgcna,4976,72383,29.092845659163988,0.5847808172696278,17.162379421221864,3817,81.48773789911637,0.7844,11.0,0.18952557491360825,0.07389856734316069
motrpac,0.56,full,variance,string,4976,90212,36.258842443729904,0.7288209536428121,91.90112540192926,393,53.74179555070487,0.4992,10.0,0.5159320643540691,0.05109076397818472
motrpac,0.56,full,variance,wgcna,4976,37050,14.891479099678456,0.2993262130588635,13.0024115755627,4142,45.36065151129672,0.7612,8.0,0.24759269127169187,0.14215924426450743
motrpac,0.67,full,variance,string,4976,57621,23.159565916398712,0.46551891289243646,86.41479099678456,658,34.388576841371545,0.54,12.0,0.5860148798118223,0.08047413269467729
motrpac,0.67,full,variance,wgcna,4976,17598,7.073151125401929,0.142173891967878,9.62620578778135,4366,21.47597070502616,0.7347,9.0,0.30797847124662026,0.2886123423116263
motrpac,0.78,full,variance,string,4976,36698,14.75,0.2964824120603015,79.72266881028939,957,21.08038034977828,0.575,11.0,0.666710309154529,0.12398495830835468
motrpac,0.78,full,variance,wgcna,4976,8133,3.2688906752411575,0.06570634523097804,6.04903536977492,4616,6.95790374271384,0.7375,10.0,0.4315011802937273,0.6145333825156769
motrpac,0.89,full,variance,string,4976,23688,9.520900321543408,0.19137488083504337,68.62942122186494,1463,12.70693523427038,0.6375,16.0,0.746779900157874,0.20301418439716312
motrpac,0.89,full,variance,wgcna,4976,5197,2.0888263665594855,0.04198645962933639,1.647909967845659,4849,0.6870323235345858,0.7613,14.0,0.7341116398968868,0.9493938810852415
motrpac,1.0,full,variance,string,4976,4976,2.0,0.04020100502512563,0.02009646302250804,4976,0.0,0.0,0.0,0.0,0.9933681672025724
motrpac,1.0,full,variance,wgcna,4976,4976,2.0,0.04020100502512563,0.02009646302250804,4976,0.0,0.0,0.0,0.0,0.9933681672025724
motrpac,0.0,full,random,string,4976,1005074,403.96864951768487,8.119972854626832,99.31672025723472,35,347.4320468123162,0.3447,3.0,0.27493792624819086,0.0037877808002196854
motrpac,0.0,full,random,wgcna,4976,5753225,2312.389469453376,46.48019034077138,100.0,1,229.7946339579321,0.6738,2.0,0.29644823374312707,0.0008510009603309448
motrpac,0.11,full,random,string,4976,1005074,403.96864951768487,8.119972854626832,99.31672025723472,35,347.4320468123162,0.3447,3.0,0.27493792624819086,0.0037877808002196854
motrpac,0.11,full,random,wgcna,4976,370057,148.73673633440515,2.9896831424001036,49.51768488745981,2407,278.15876628532527,0.8244,15.0,0.21137836118037512,0.012471051756891506
motrpac,0.22,full,random,string,4976,515322,207.12299035369776,4.1632761880140245,99.31672025723472,35,223.2904771918467,0.3367,4.0,0.335615793850865,0.009361137308323728
motrpac,0.22,full,random,wgcna,4976,211908,85.17202572347267,1.7120005170547272,31.410771704180064,3078,187.7609324497973,0.8133,11.0,0.1895982295987398,0.0220992128659607
motrpac,0.33,full,random,string,4976,259881,104.45377813504822,2.0995734298502153,99.15594855305466,43,132.05688461230275,0.3641,6.0,0.3906156897173646,0.015722580719637065
motrpac,0.33,full,random,wgcna,4976,124930,50.213022508038584,1.0093069850862026,25.683279742765276,3488,126.07724100162363,0.8008,19.0,0.20469848025727452,0.03955815256543664
motrpac,0.44,full,random,string,4976,151939,61.068729903536976,1.2275121588650648,96.9855305466238,144,85.87320123875293,0.4434,9.0,0.4487370447823971,0.0295908226327671
motrpac,0.44,full,random,wgcna,4976,72383,29.092845659163988,0.5847808172696278,17.162379421221864,3817,81.48773789911637,0.7814,11.0,0.1924540194020264,0.07389856734316069
motrpac,0.56,full,random,string,4976,90212,36.258842443729904,0.7288209536428121,91.90112540192926,393,53.741795550704865,0.4972,10.0,0.5174441503723985,0.05109076397818472
motrpac,0.56,full,random,wgcna,4976,37050,14.891479099678456,0.2993262130588635,13.0024115755627,4142,45.36065151129673,0.765,8.0,0.25529480207134897,0.14215924426450743
motrpac,0.67,full,random,string,4976,57621,23.159565916398712,0.46551891289243646,86.41479099678456,658,34.388576841371545,0.5547,12.0,0.5934140322378325,0.08047413269467729
motrpac,0.67,full,random,wgcna,4976,17598,7.073151125401929,0.142173891967878,9.62620578778135,4366,21.47597070502616,0.7338,9.0,0.30635145868556873,0.2886123423116263
motrpac,0.78,full,random,string,4976,36698,14.75,0.2964824120603015,79.72266881028939,957,21.08038034977828,0.5932,11.0,0.6648267741723327,0.12398495830835468
motrpac,0.78,full,random,wgcna,4976,8133,3.2688906752411575,0.06570634523097804,6.04903536977492,4616,6.957903742713839,0.7379,10.0,0.44019269834729813,0.6145333825156769
motrpac,0.89,full,random,string,4976,23688,9.520900321543408,0.19137488083504337,68.62942122186494,1463,12.70693523427038,0.6366,16.0,0.7446682952641859,0.20301418439716312
