dataset,adj_thresh,node_sample_ratio,method,adjacency_method,num_nodes,num_edges,avg_degree,density_pct,largest_cc_ratio_pct,num_connected_components,degree_std,clustering_coefficient,diameter,modularity,homophily
tuberculosis,0.0,full,variance,string,3814,664541,348.4745673833246,9.139117948684095,99.71158888306239,11,237.30604976842747,0.3182,5.0,0.25429737274492653,0.005969533858708492
tuberculosis,0.0,full,variance,wgcna,3814,7275205,3815.0,100.0524521374246,100.0,1,0.0,1.0,1.0,0.00026205447131730307,0.0002650097145028903
tuberculosis,0.11,full,variance,string,3814,664541,348.4745673833246,9.139117948684095,99.71158888306239,11,237.30604976842747,0.3182,5.0,0.25429737274492653,0.005969533858708492
tuberculosis,0.11,full,variance,wgcna,3814,7275173,3814.9832197168325,100.05201205656525,100.0,1,0.42808033035743864,1.0,1.0,0.00026209184357618443,0.0002655606952576935
tuberculosis,0.22,full,variance,string,3814,300429,157.54011536444676,4.131657890491654,99.65915049816466,13,132.18352927750595,0.3154,6.0,0.3482737727736538,0.014818809102982734
tuberculosis,0.22,full,variance,wgcna,3814,7273066,3813.8783429470373,100.02303548248197,100.0,1,28.10075116108756,0.9999,2.0,0.00031865807088954563,0.0002674250446785441
tuberculosis,0.33,full,variance,string,3814,147058,77.11484006292606,2.0224190942283258,99.58049292081805,16,79.44641266660939,0.355,7.0,0.42653896889060045,0.03072937208448367
tuberculosis,0.33,full,variance,wgcna,3814,7258816,3806.4058730991087,99.82706197479959,100.0,1,83.797624514445,0.9989,2.0,0.0007328836113411564,0.0002635416023770268
tuberculosis,0.44,full,variance,string,3814,87116,45.68222338751966,1.19806512949173,99.16098584163608,31,50.66552580061488,0.4041,8.0,0.5035899480093793,0.04932503788052711
tuberculosis,0.44,full,variance,wgcna,3814,7057882,3701.039328788673,97.06371174373652,100.0,1,343.02406887131775,0.9867,2.0,0.008917252152453163,0.0002611264965892034
tuberculosis,0.56,full,variance,string,3814,51793,27.159412690089145,0.7122846233959913,97.45673833245935,84,31.57066086491398,0.4744,11.0,0.604527358493563,0.08188365223099647
tuberculosis,0.56,full,variance,wgcna,3814,6616652,3469.6654431043526,90.99568431954766,99.94756161510226,3,691.5804045657974,0.9857,4.0,0.011838238904839513,0.0002513355697110865
tuberculosis,0.67,full,variance,string,3814,35224,18.47089669638175,0.4844190059371034,93.07813319349764,222,23.13845532263763,0.5564,15.0,0.6891384847983113,0.11844197138314785
tuberculosis,0.67,full,variance,wgcna,3814,6236128,3270.1248033560564,85.76251779061256,99.39695857367593,24,845.3908577135263,0.9762,5.0,0.012133139017947997,0.0003668943293017719
tuberculosis,0.78,full,variance,string,3814,23204,12.167802831672784,0.31911363314116925,84.81908757210277,483,17.24414134254805,0.6454,17.0,0.7629688695008688,0.17746940182727117
tuberculosis,0.78,full,variance,wgcna,3814,5463468,2864.954378605139,75.1364903909032,97.74514944939696,85,1010.2372254675984,0.958,7.0,0.024570623035860845,0.00035947863152122425
tuberculosis,0.89,full,variance,string,3814,13973,7.3272155217619295,0.19216405774355966,50.55060304142632,1456,11.780678356766208,0.7236,19.0,0.794284946292166,0.28855650182494813
tuberculosis,0.89,full,variance,wgcna,3814,2822233,1479.93340325118,38.81283512329347,91.84583114840062,304,971.5550514014247,0.8476,7.0,0.09681435959407463,0.0010006260999711931
tuberculosis,1.0,full,variance,string,3814,3814,2.0,0.05245213742460005,0.026219192448872573,3814,0.0,0.0,0.0,0.0,0.9981646565285789
tuberculosis,1.0,full,variance,wgcna,3814,3814,2.0,0.05245213742460005,0.026219192448872573,3814,0.0,0.0,0.0,0.0,0.9981646565285789
tuberculosis,0.0,full,random,string,3814,664541,348.4745673833246,9.139117948684095,99.71158888306239,11,237.30604976842747,0.3161,5.0,0.2584974730605719,0.005969533858708492
tuberculosis,0.0,full,random,wgcna,3814,7275205,3815.0,100.0524521374246,100.0,1,0.0,1.0,1.0,0.00026205447131730307,0.0002650097145028903
tuberculosis,0.11,full,random,string,3814,664541,348.4745673833246,9.139117948684095,99.71158888306239,11,237.30604976842747,0.3161,5.0,0.2584974730605719,0.005969533858708492
tuberculosis,0.11,full,random,wgcna,3814,7275173,3814.9832197168325,100.05201205656525,100.0,1,0.4280803303574387,1.0,1.0,0.00026209184357618443,0.0002655606952576935
tuberculosis,0.22,full,random,string,3814,300429,157.54011536444676,4.131657890491654,99.65915049816466,13,132.18352927750595,0.3061,5.0,0.3461978293840246,0.014818809102982734
tuberculosis,0.22,full,random,wgcna,3814,7273066,3813.8783429470373,100.02303548248197,100.0,1,28.10075116108756,1.0,2.0,0.0003186750832282432,0.0002674250446785441
tuberculosis,0.33,full,random,string,3814,147058,77.11484006292606,2.0224190942283258,99.58049292081805,16,79.44641266660939,0.3592,7.0,0.39695329444723243,0.03072937208448367
