dataset,adj_thresh,node_sample_ratio,method,adjacency_method,num_nodes,num_edges,avg_degree,density_pct,largest_cc_ratio_pct,num_connected_components,degree_std,error
addneuromed,0.0,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.0,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.11,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.11,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.22,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.22,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.33,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.33,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.44,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.44,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.56,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.56,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.67,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.67,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.78,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.78,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.89,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.89,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,1.0,full,variance,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,1.0,full,variance,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.0,full,random,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.0,full,random,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.11,full,random,string,,,,,,,,[Errno 13] Permission denied: '/scratch'
addneuromed,0.11,full,random,wgcna,,,,,,,,[Errno 13] Permission denied: '/scratch'
