dataset,adj_thresh,node_sample_ratio,method,num_nodes,num_edges,avg_degree,density_pct,largest_cc_ratio_pct,num_connected_components,degree_std
addneuromed,0.0,full,variance,17198,147218072,17120.37120595418,99.55440603567006,100.0,1,805.2979621116687
addneuromed,0.11,full,variance,17198,147115616,17108.456332131642,99.48512142892157,100.0,1,863.8771805964861
addneuromed,0.22,full,variance,17198,146955069,17089.78590533783,99.37655349966757,100.0,1,938.72693964919
addneuromed,0.33,full,variance,17198,146770952,17068.37446214676,99.25204664852451,99.98837074078382,3,1026.780134448098
addneuromed,0.44,full,variance,17198,146448698,17030.89870915223,99.03412635431893,99.97092685195953,6,1155.9803357601827
addneuromed,0.56,full,variance,17198,145860232,16962.464472613094,98.63618347742684,99.72089777881149,20,1357.5870672126184
addneuromed,0.67,full,variance,17198,144816829,16841.12443307361,97.93059506352046,99.66856611233864,33,1623.6706130446173
addneuromed,0.78,full,variance,17198,141765232,16486.2463077102,95.8669902175391,99.49994185370392,63,2214.7411503348253
addneuromed,0.89,full,variance,17198,131263142,15264.931038492849,88.76508134263446,98.82544481916501,183,3416.320861012231
addneuromed,1.0,full,variance,17198,17198,2.0,0.011629935453858231,0.005814629608093964,17198,0.0
addneuromed,0.0,full,random,17198,147218072,17120.37120595418,99.55440603567006,100.0,1,805.2979621116684
addneuromed,0.11,full,random,17198,147115616,17108.456332131642,99.48512142892157,100.0,1,863.8771805964863
addneuromed,0.22,full,random,17198,146955069,17089.78590533783,99.37655349966757,100.0,1,938.7269396491898
addneuromed,0.33,full,random,17198,146770952,17068.37446214676,99.25204664852451,99.98837074078382,3,1026.7801344480977
addneuromed,0.44,full,random,17198,146448698,17030.89870915223,99.03412635431893,99.97092685195953,6,1155.980335760183
addneuromed,0.56,full,random,17198,145860232,16962.464472613094,98.63618347742684,99.72089777881149,20,1357.5870672126184
addneuromed,0.67,full,random,17198,144816829,16841.12443307361,97.93059506352046,99.66856611233864,33,1623.6706130446173
addneuromed,0.78,full,random,17198,141765232,16486.2463077102,95.8669902175391,99.49994185370392,63,2214.7411503348253
addneuromed,0.89,full,random,17198,131263142,15264.931038492849,88.76508134263446,98.82544481916501,183,3416.3208610122306
addneuromed,1.0,full,random,17198,17198,2.0,0.011629935453858231,0.005814629608093964,17198,0.0
addneuromed,0.0,full,correlation,17198,147218072,17120.37120595418,99.55440603567006,100.0,1,805.2979621116684
addneuromed,0.11,full,correlation,17198,147115616,17108.456332131642,99.48512142892157,100.0,1,863.877180596486
addneuromed,0.22,full,correlation,17198,146955069,17089.78590533783,99.37655349966757,100.0,1,938.72693964919
addneuromed,0.33,full,correlation,17198,146770952,17068.37446214676,99.25204664852451,99.98837074078382,3,1026.7801344480977
addneuromed,0.44,full,correlation,17198,146448698,17030.89870915223,99.03412635431893,99.97092685195953,6,1155.980335760183
addneuromed,0.56,full,correlation,17198,145860232,16962.464472613094,98.63618347742684,99.72089777881149,20,1357.5870672126186
addneuromed,0.67,full,correlation,17198,144816829,16841.12443307361,97.93059506352046,99.66856611233864,33,1623.6706130446173
addneuromed,0.78,full,correlation,17198,141765232,16486.2463077102,95.8669902175391,99.49994185370392,63,2214.7411503348253
addneuromed,0.89,full,correlation,17198,131263142,15264.931038492849,88.76508134263446,98.82544481916501,183,3416.320861012231
addneuromed,1.0,full,correlation,17198,17198,2.0,0.011629935453858231,0.005814629608093964,17198,0.0
addneuromed,0.0,full,distance_correlation,17198,147218072,17120.37120595418,99.55440603567006,100.0,1,805.2979621116685
addneuromed,0.11,full,distance_correlation,17198,147115616,17108.456332131642,99.48512142892157,100.0,1,863.877180596486
addneuromed,0.22,full,distance_correlation,17198,146955069,17089.78590533783,99.37655349966757,100.0,1,938.7269396491898
addneuromed,0.33,full,distance_correlation,17198,146770952,17068.37446214676,99.25204664852451,99.98837074078382,3,1026.780134448098
addneuromed,0.44,full,distance_correlation,17198,146448698,17030.89870915223,99.03412635431893,99.97092685195953,6,1155.9803357601827
addneuromed,0.56,full,distance_correlation,17198,145860232,16962.464472613094,98.63618347742684,99.72089777881149,20,1357.5870672126184
addneuromed,0.67,full,distance_correlation,17198,144816829,16841.12443307361,97.93059506352046,99.66856611233864,33,1623.6706130446173
addneuromed,0.78,full,distance_correlation,17198,141765232,16486.2463077102,95.8669902175391,99.49994185370392,63,2214.7411503348253
addneuromed,0.89,full,distance_correlation,17198,131263142,15264.931038492849,88.76508134263446,98.82544481916501,183,3416.3208610122306
addneuromed,1.0,full,distance_correlation,17198,17198,2.0,0.011629935453858231,0.005814629608093964,17198,0.0
addneuromed,0.0,1.0,variance,497,122271,492.0362173038229,99.20085026286752,99.3963782696177,2,38.03200357531508
addneuromed,0.11,1.0,variance,497,122264,492.00804828973844,99.19517102615694,99.3963782696177,2,38.03127929537394
addneuromed,0.22,1.0,variance,497,122141,491.51307847082495,99.09537872395664,99.3963782696177,2,38.16864423049691
addneuromed,0.33,1.0,variance,497,121470,488.81287726358147,98.55098331927046,99.3963782696177,2,40.77675388151573
addneuromed,0.44,1.0,variance,497,119232,479.80684104627767,96.73525021094308,99.3963782696177,2,57.8905415615941
addneuromed,0.56,1.0,variance,497,114374,460.2575452716298,92.79385993379633,98.59154929577466,5,77.73766743373957
addneuromed,0.67,1.0,variance,497,105189,423.2957746478873,85.34189004997728,98.39034205231388,7,102.49581157587417
addneuromed,0.78,1.0,variance,497,88123,354.61971830985914,71.49591094956837,96.98189134808854,13,127.09219017050238
addneuromed,0.89,1.0,variance,497,59633,239.9718309859155,48.38141753748296,93.158953722334,23,132.19474998200357
addneuromed,1.0,1.0,variance,497,497,2.0,0.4032258064516129,0.2012072434607646,497,0.0
addneuromed,0.0,1.0,random,497,121755,489.95975855130786,98.78220938534432,100.0,1,43.094608269637774
addneuromed,0.11,1.0,random,497,120580,485.2313883299799,97.82890893749594,99.59758551307847,3,50.485179018074476
addneuromed,0.22,1.0,random,497,122210,491.7907444668008,99.15135977153243,99.79879275653923,2,34.11267392012799
addneuromed,0.33,1.0,random,497,117141,471.39235412474846,95.038781073538,98.99396378269618,5,72.76735193019563
addneuromed,0.44,1.0,random,497,118309,476.09255533199195,95.9864022846758,99.59758551307847,3,65.42690243533738
addneuromed,0.56,1.0,random,497,93016,374.3098591549296,75.46569741026806,94.76861167002012,27,130.79350984158336
addneuromed,0.67,1.0,random,497,80465,323.80281690140845,65.28282598818718,91.75050301810866,41,145.0806940943767
addneuromed,0.78,1.0,random,497,69193,278.4426559356137,56.1376322450834,86.31790744466801,69,150.1911231472142
addneuromed,0.89,1.0,random,497,41808,168.24144869215291,33.91964691374051,69.61770623742454,152,135.2887888579753
addneuromed,1.0,1.0,random,497,497,2.0,0.4032258064516129,0.2012072434607646,497,0.0
